Hour,Day,Month,Year,Demand(MW),Day_of_week
20,22,6,2021,11970,3
21,22,6,2021,12106,3
22,22,6,2021,12145,3
23,22,6,2021,11810,3
24,22,6,2021,11656,3
1,23,6,2021,11208,4
2,23,6,2021,10839,4
3,23,6,2021,10533,4
4,23,6,2021,10321,4
5,23,6,2021,10028,4
6,23,6,2021,9300,4
7,23,6,2021,8988,4
8,23,6,2021,9272,4
9,23,6,2021,9686,4
10,23,6,2021,10055,4
11,23,6,2021,10363,4
12,23,6,2021,10676,4
13,23,6,2021,10905,4
14,23,6,2021,10892,4
15,23,6,2021,11084,4
16,23,6,2021,10887,4
17,23,6,2021,10313,4
18,23,6,2021,9849,4
19,23,6,2021,10715,4
20,23,6,2021,12275,4
21,23,6,2021,12611,4
22,23,6,2021,12272,4
23,23,6,2021,12197,4
24,23,6,2021,12116,4
1,24,6,2021,11651,5
2,24,6,2021,11369,5
3,24,6,2021,11101,5
4,24,6,2021,10824,5
5,24,6,2021,10427,5
6,24,6,2021,9639,5
7,24,6,2021,9434,5
8,24,6,2021,9464,5
9,24,6,2021,9872,5
10,24,6,2021,10314,5
11,24,6,2021,10497,5
12,24,6,2021,10725,5
13,24,6,2021,10719,5
14,24,6,2021,10860,5
15,24,6,2021,10942,5
16,24,6,2021,10956,5
17,24,6,2021,10488,5
18,24,6,2021,9999,5
19,24,6,2021,10850,5
20,24,6,2021,12333,5
21,24,6,2021,12604,5
22,24,6,2021,12525,5
23,24,6,2021,12463,5
24,24,6,2021,12352,5
1,25,6,2021,11907,6
2,25,6,2021,11564,6
3,25,6,2021,11054,6
4,25,6,2021,10934,6
5,25,6,2021,10601,6
6,25,6,2021,9602,6
7,25,6,2021,9226,6
8,25,6,2021,9074,6
9,25,6,2021,9062,6
10,25,6,2021,9111,6
11,25,6,2021,9333,6
12,25,6,2021,9590,6
13,25,6,2021,9932,6
14,25,6,2021,9688,6
15,25,6,2021,9952,6
16,25,6,2021,9558,6
17,25,6,2021,9129,6
18,25,6,2021,8625,6
19,25,6,2021,9817,6
20,25,6,2021,11370,6
21,25,6,2021,12025,6
22,25,6,2021,12090,6
23,25,6,2021,12105,6
24,25,6,2021,11927,6
1,26,6,2021,11632,7
2,26,6,2021,11195,7
3,26,6,2021,10989,7
4,26,6,2021,10554,7
5,26,6,2021,10274,7
6,26,6,2021,9337,7
7,26,6,2021,9278,7
8,26,6,2021,9213,7
9,26,6,2021,9323,7
10,26,6,2021,9569,7
11,26,6,2021,9774,7
12,26,6,2021,10063,7
13,26,6,2021,10356,7
14,26,6,2021,10394,7
15,26,6,2021,10811,7
16,26,6,2021,10535,7
17,26,6,2021,10323,7
18,26,6,2021,9946,7
19,26,6,2021,11328,7
20,26,6,2021,12478,7
21,26,6,2021,12938,7
22,26,6,2021,12635,7
23,26,6,2021,12589,7
24,26,6,2021,12550,7
1,27,6,2021,12167,1
2,27,6,2021,11807,1
3,27,6,2021,11470,1
4,27,6,2021,11034,1
5,27,6,2021,10863,1
6,27,6,2021,9914,1
7,27,6,2021,9696,1
8,27,6,2021,9637,1
9,27,6,2021,10128,1
10,27,6,2021,10503,1
11,27,6,2021,10702,1
12,27,6,2021,10888,1
13,27,6,2021,11206,1
14,27,6,2021,11210,1
15,27,6,2021,11476,1
16,27,6,2021,11421,1
17,27,6,2021,10949,1
18,27,6,2021,10232,1
19,27,6,2021,11190,1
20,27,6,2021,12627,1
21,27,6,2021,12792,1
22,27,6,2021,12815,1
23,27,6,2021,12779,1
24,27,6,2021,12697,1
1,28,6,2021,12453,2
2,28,6,2021,12013,2
3,28,6,2021,11837,2
4,28,6,2021,11534,2
5,28,6,2021,11271,2
6,28,6,2021,10175,2
7,28,6,2021,9856,2
8,28,6,2021,9894,2
9,28,6,2021,10256,2
10,28,6,2021,10501,2
11,28,6,2021,10577,2
12,28,6,2021,10694,2
13,28,6,2021,10858,2
14,28,6,2021,10926,2
15,28,6,2021,11089,2
16,28,6,2021,10851,2
17,28,6,2021,10467,2
18,28,6,2021,10076,2
19,28,6,2021,10915,2
20,28,6,2021,12198,2
21,28,6,2021,12335,2
22,28,6,2021,12404,2
23,28,6,2021,12543,2
24,28,6,2021,12544,2
1,29,6,2021,12147,3
2,29,6,2021,11557,3
3,29,6,2021,11180,3
4,29,6,2021,10852,3
5,29,6,2021,10360,3
6,29,6,2021,9461,3
7,29,6,2021,9160,3
8,29,6,2021,8946,3
9,29,6,2021,9196,3
10,29,6,2021,9474,3
11,29,6,2021,9732,3
12,29,6,2021,9751,3
13,29,6,2021,9480,3
14,29,6,2021,9095,3
15,29,6,2021,9470,3
16,29,6,2021,9504,3
17,29,6,2021,9133,3
18,29,6,2021,9228,3
19,29,6,2021,10246,3
20,29,6,2021,11211,3
21,29,6,2021,11425,3
22,29,6,2021,11347,3
23,29,6,2021,11225,3
24,29,6,2021,10958,3
1,30,6,2021,10539,4
2,30,6,2021,10064,4
3,30,6,2021,9814,4
4,30,6,2021,9619,4
5,30,6,2021,9417,4
6,30,6,2021,8829,4
7,30,6,2021,8675,4
8,30,6,2021,8770,4
9,30,6,2021,9368,4
10,30,6,2021,9636,4
11,30,6,2021,9622,4
12,30,6,2021,9931,4
13,30,6,2021,10305,4
14,30,6,2021,10360,4
15,30,6,2021,10567,4
16,30,6,2021,10319,4
17,30,6,2021,9797,4
18,30,6,2021,9431,4
19,30,6,2021,9638,4
20,30,6,2021,10048,4
21,30,6,2021,10217,4
22,30,6,2021,10018,4
23,30,6,2021,9881,4
24,30,6,2021,9664,4
1,1,7,2021,9505,5
2,1,7,2021,9073,5
3,1,7,2021,8662,5
4,1,7,2021,8469,5
5,1,7,2021,8301,5
6,1,7,2021,7859,5
7,1,7,2021,7754,5
8,1,7,2021,7844,5
9,1,7,2021,8195,5
10,1,7,2021,8221,5
11,1,7,2021,8184,5
12,1,7,2021,8476,5
13,1,7,2021,8494,5
14,1,7,2021,8434,5
15,1,7,2021,8421,5
16,1,7,2021,7997,5
17,1,7,2021,7873,5
18,1,7,2021,8071,5
19,1,7,2021,9021,5
20,1,7,2021,10020,5
21,1,7,2021,10097,5
22,1,7,2021,9725,5
23,1,7,2021,9325,5
24,1,7,2021,9133,5
1,2,7,2021,8751,6
2,2,7,2021,8439,6
3,2,7,2021,8108,6
4,2,7,2021,7872,6
5,2,7,2021,7633,6
6,2,7,2021,7163,6
7,2,7,2021,6911,6
8,2,7,2021,7031,6
9,2,7,2021,7068,6
10,2,7,2021,7092,6
11,2,7,2021,7144,6
12,2,7,2021,7379,6
13,2,7,2021,7789,6
14,2,7,2021,7597,6
15,2,7,2021,7737,6
16,2,7,2021,7529,6
17,2,7,2021,7282,6
18,2,7,2021,7404,6
19,2,7,2021,8563,6
20,2,7,2021,9703,6
21,2,7,2021,9942,6
22,2,7,2021,9969,6
23,2,7,2021,9588,6
24,2,7,2021,9260,6
1,3,7,2021,8758,7
2,3,7,2021,8512,7
3,3,7,2021,8267,7
4,3,7,2021,8162,7
5,3,7,2021,8037,7
6,3,7,2021,7594,7
7,3,7,2021,7761,7
8,3,7,2021,7982,7
9,3,7,2021,8447,7
10,3,7,2021,8797,7
11,3,7,2021,9051,7
12,3,7,2021,9422,7
