Year,Month,Day,Hour,Demand(kW),Day_of_week,Holiday
2021,6,25,10,182.22,6,1
2021,6,25,11,186.66,6,1
2021,6,25,12,191.8,6,1
2021,6,25,13,198.64,6,1
2021,6,25,14,193.76,6,1
2021,6,25,15,199.04,6,1
2021,6,25,16,191.16,6,1
2021,6,25,17,182.58,6,1
2021,6,25,18,172.5,6,1
2021,6,25,19,196.34,6,1
2021,6,25,20,227.4,6,1
2021,6,25,21,240.5,6,1
2021,6,25,22,241.8,6,1
2021,6,25,23,242.1,6,1
2021,6,25,24,238.54,6,1
2021,6,26,1,232.64,7,1
2021,6,26,2,223.9,7,1
2021,6,26,3,219.78,7,1
2021,6,26,4,211.08,7,1
2021,6,26,5,205.48,7,1
2021,6,26,6,186.74,7,1
2021,6,26,7,185.56,7,1
2021,6,26,8,184.26,7,1
2021,6,26,9,186.46,7,1
2021,6,26,10,191.38,7,1
2021,6,26,11,195.48,7,1
2021,6,26,12,201.26,7,1
2021,6,26,13,207.12,7,1
2021,6,26,14,207.88,7,1
2021,6,26,15,216.22,7,1
2021,6,26,16,210.7,7,1
2021,6,26,17,206.46,7,1
2021,6,26,18,198.92,7,1
2021,6,26,19,226.56,7,1
2021,6,26,20,249.56,7,1
2021,6,26,21,258.76,7,1
2021,6,26,22,252.7,7,1
2021,6,26,23,251.78,7,1
2021,6,26,24,251.0,7,1
2021,6,27,1,243.34,1,1
2021,6,27,2,236.14,1,1
2021,6,27,3,229.4,1,1
2021,6,27,4,220.68,1,1
2021,6,27,5,217.26,1,1
2021,6,27,6,198.28,1,1
2021,6,27,7,193.92,1,1
2021,6,27,8,192.74,1,1
2021,6,27,9,202.56,1,1
2021,6,27,10,210.06,1,1
2021,6,27,11,214.04,1,1
2021,6,27,12,217.76,1,1
2021,6,27,13,224.12,1,1
2021,6,27,14,224.2,1,1
2021,6,27,15,229.52,1,1
2021,6,27,16,228.42,1,1
2021,6,27,17,218.98,1,1
2021,6,27,18,204.64,1,1
2021,6,27,19,223.8,1,1
2021,6,27,20,252.54,1,1
2021,6,27,21,255.84,1,1
2021,6,27,22,256.3,1,1
2021,6,27,23,255.58,1,1
2021,6,27,24,253.94,1,1
2021,6,28,1,249.06,2,1
2021,6,28,2,240.26,2,1
