Year,Month,Day,Hour,Demand
2015,2,19,14,1411.4817
2015,2,19,15,1377.4342
2015,2,19,16,1286.3222
2015,2,19,17,1175.7015
2015,2,19,18,1150.4259
2015,2,19,19,1183.1995
2015,2,19,20,1143.2367
2015,2,19,21,1100.7171
2015,2,19,22,1058.9289
2015,2,19,23,1007.1677
2015,2,20,0,952.0052
2015,2,20,1,917.9281
2015,2,20,2,887.2816
2015,2,20,3,869.448
2015,2,20,4,860.3109
2015,2,20,5,871.2114
2015,2,20,6,887.9019
2015,2,20,7,1013.1839
2015,2,20,8,1203.015
2015,2,20,9,1300.4006
2015,2,20,10,1353.1345
2015,2,20,11,1398.3059
2015,2,20,12,1408.1403
2015,2,20,13,1420.6684
2015,2,20,14,1420.8429
2015,2,20,15,1387.0383
2015,2,20,16,1312.4145
2015,2,20,17,1195.8178
2015,2,20,18,1164.6832
2015,2,20,19,1202.7658
2015,2,20,20,1167.2806
2015,2,20,21,1137.9367
2015,2,20,22,1092.3741
2015,2,20,23,1045.4603
2015,2,21,0,968.822
2015,2,21,1,922.6756
2015,2,21,2,896.4288
2015,2,21,3,866.6465
2015,2,21,4,857.6267
2015,2,21,5,866.4971
2015,2,21,6,853.7283
2015,2,21,7,878.0682
2015,2,21,8,1003.9349
2015,2,21,9,1100.6445
2015,2,21,10,1184.1226
2015,2,21,11,1200.6834
2015,2,21,12,1161.8946
2015,2,21,13,1145.324
2015,2,21,14,1137.0279
2015,2,21,15,1123.5821
2015,2,21,16,1087.5582
2015,2,21,17,1054.3335
2015,2,21,18,1066.5101
2015,2,21,19,1123.9603
2015,2,21,20,1098.3911
2015,2,21,21,1053.0281
2015,2,21,22,1016.7001
2015,2,21,23,967.0272
2015,2,22,0,926.2419
2015,2,22,1,891.9459
2015,2,22,2,844.0458
2015,2,22,3,852.8068
2015,2,22,4,841.3477
2015,2,22,5,832.6966
2015,2,22,6,807.416
2015,2,22,7,795.2786
2015,2,22,8,855.5199
2015,2,22,9,919.6283
2015,2,22,10,979.7815
2015,2,22,11,1018.5656
2015,2,22,12,1030.271
2015,2,22,13,1042.2174
2015,2,22,14,1033.807
2015,2,22,15,1044.1433
2015,2,22,16,1029.8046
2015,2,22,17,1026.5009
2015,2,22,18,1044.1395
2015,2,22,19,1102.019
2015,2,22,20,1102.5413
2015,2,22,21,1098.4424
2015,2,22,22,1070.3003
2015,2,22,23,1011.3323
2015,2,23,0,966.8424
2015,2,23,1,938.2059
2015,2,23,2,903.8671
2015,2,23,3,889.0929
2015,2,23,4,886.1999
2015,2,23,5,897.537
2015,2,23,6,926.7129
2015,2,23,7,1037.4133
2015,2,23,8,1237.968
2015,2,23,9,1312.2937
2015,2,23,10,1402.8169
2015,2,23,11,1414.6225
2015,2,23,12,1413.9611
2015,2,23,13,1440.5607
2015,2,23,14,1436.7855
2015,2,23,15,1391.1611
2015,2,23,16,1333.4446
2015,2,23,17,1187.8578
2015,2,23,18,1149.0493
2015,2,23,19,1195.7257
2015,2,23,20,1169.2493
2015,2,23,21,1124.5109
2015,2,23,22,1085.2368
2015,2,23,23,1022.9115
2015,2,24,0,964.0458
2015,2,24,1,927.9999
2015,2,24,2,907.7657
2015,2,24,3,880.5992
2015,2,24,4,875.5798
2015,2,24,5,891.2392
2015,2,24,6,901.3636
2015,2,24,7,1009.5041
2015,2,24,8,1208.8794
2015,2,24,9,1306.1565
2015,2,24,10,1367.1852
2015,2,24,11,1394.657
2015,2,24,12,1404.6675
2015,2,24,13,1444.8139
2015,2,24,14,1452.0348
2015,2,24,15,1402.9806
2015,2,24,16,1321.5047
2015,2,24,17,1193.819
2015,2,24,18,1163.3092
